Simplified,Unit,Path
(dimensionless),(dimensionless),characterization/rheometery
hz,hz,properties/mechanical/tensile/elongationatbreak
ohm*m,ohms-m,
(dimensionless),(dimensionless),properties/mechanical/tensile/conditions/strainrate
c/m^3,c/m^3,
hz,hz,properties/mechanical/fracturetoughness/essentialworkoffracture/strainrate
kv/mm,kv/mm,
pa*s,pa-sec,
hz,hz,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity
hz,hz,properties/electrical/dielectricbreakdownstrength/weibullplot
hz,hz,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent
hz,hz,properties/thermal/specificheatcapacity_cp
(dimensionless),(dimensionless),materials/filler/fillercomponent/sphericalparticlediameter
v,v,
hz,hz,processing/solutionprocessing/chooseparameter/mixing/temperature
(dimensionless),(dimensionless),properties/mechanical/tensile/tensilestressatyield
(dimensionless),(dimensionless),properties/rheological/dynamicviscosity
bonds/nm2,bonds/nm2,
(dimensionless),(dimensionless),characterization/xray_diffraction_and_scattering
j/m^3,j/m^3,
(dimensionless),(dimensionless),properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity
(dimensionless),(dimensionless),characterization/xray_photoelectron_spectroscopy
(dimensionless),(dimensionless),properties/electrical/dc_dielectricconstant
ohm*cm,ohms-cm,
ohm,ohm,
s/cm,s/cm,characterization/fourier_transform_infrared_spectroscopy
w/mk,w/mk,
celsius,cel.,
hz,hz,characterization/differential_scanning_calorimetry/heatingrate
j/cm^3,j/cm^3,
ch/nm^2,chain/nm^2,
s/cm,s/cm,
hz,hz,characterization/fourier_transform_infrared_spectroscopy
hz,hz,properties/electrical/electricconductivity
hz,hz,properties/electrical/surfaceresistivity
ev,ev,
pa*s,pa*s,
j/gk,j/(gk),
hz,hz,properties/electrical/energydensity
hz,hz,
s/m,s.m-1,
k^-1,k^-1,
hz,hz,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent
j/g,j/g,
(dimensionless),(dimensionless),characterization/differential_scanning_calorimetry
(dimensionless),(dimensionless),properties/rheological/rheologicalcomplexmodulus/rheologicalstoragemodulus
(dimensionless),(dimensionless),properties/mechanical/compression/compressionmodulus
pa,pa,characterization/differential_scanning_calorimetry
hz,hz,properties/mechanical/tensile/tensilestressatyield
hz,hertz,
gpa,gpa,
mv/mm,mv/mm,
hz,hz,characterization/xray_diffraction_and_scattering
cm^2/vs,cm^2/vs,
kpa,kpa,
hz,hz,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity
hz,hz,characterization/xray_photoelectron_spectroscopy
cm,cm,
(dimensionless),(dimensionless),properties/mechanical/compression/compressionstressatyield
hz,hz,properties/mechanical/tensile/fibertensilestrength
min^-1,min^-1,
(dimensionless),(dimensionless),properties/electrical/volumeresistivity
hz,hz,properties/rheological/rheologicalcomplexmodulus/rheologicallossmodulus
(dimensionless),(dimensionless),properties/thermal/dsc_profile
(dimensionless),(dimensionless),properties/viscoelastic/creep/tensile/tensilecreepstrain
celsius,*c,
pa*s,pas,
hz,hz,properties/thermal/glasstransitiontemperature
(dimensionless),(dimensionless),properties/volumetric/interphasethickness
celsius,celsius,properties/electrical/dielectricbreakdownstrength/weibullplot
pa,pa,characterization/raman_spectroscopy
hz,hz,properties/volumetric/density
hours,h,
(dimensionless),(dimensionless),characterization/dielectric_and_impedance_spectroscopy_analysis
mw,mw,properties/mechanical/tensile/tensilemodulus
hz,hz,properties/rheological/rheologicalcomplexmodulus/rheologicalstoragemodulus
hz,hz,properties/mechanical/compression/compressionmodulus
j/cm^3,j/cm3,
cp,cp,
pa*s,pa.s,
sec,sec,
hz,hz,properties/electrical/volumeresistivity
celsius,celsius,properties/electrical/electricconductivity
a/cm^2,a/cm^2,
mv/cm,mv/cm,
hz,hz,properties/thermal/dsc_profile
hz,hz,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile
(dimensionless),(dimensionless),properties/mechanical/shear/shearmodulus
hz,hz,properties/electrical/impedance
v/cm,v/cm,
celsius,celsius,
hz,hz,properties/viscoelastic/creep/tensile/tensilecreepstrain
(dimensionless),(dimensionless),properties/mechanical/tensile/stressrelaxation
hz,hz,properties/volumetric/interphasethickness
(dimensionless),(dimensionless),properties/mechanical/tensile/tensilemodulus
celsius,celsius,properties/mechanical/tensile/tensilestressatyield
pa,pa,properties/mechanical/tensile/tensilemodulus
hz,hz,characterization/dielectric_and_impedance_spectroscopy_analysis
nm,nm,
hz,hz,characterization/rheometery
(dimensionless),(dimensionless),properties/volumetric/waterabsorption
cal/g*c,cal/g*c,
hz,hz,properties/mechanical/tensile/conditions/strainrate
(dimensionless),(dimensionless),properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency
khz,khz,
kv/cm,kv/cm,
(dimensionless),(dimensionless),properties/volumetric/linearexpansioncoefficient
hz,hz,materials/filler/fillercomponent/sphericalparticlediameter
celsius,celsius,properties/thermal/glasstransitiontemperature
hz,hz,properties/rheological/dynamicviscosity
rad/sec,rad/s,
hz,hz,properties/electrical/dc_dielectricconstant
(dimensionless),(dimensionless),properties/thermal/specificheatcapacity_cv
sec,s,
kg/mol,kg/mol,
1/cm,cm^(-1),
mv/m,mv/m,
s(cm),s(cm),properties/electrical/currentdensity
a/cm^2,a/cm2,
s/cm,s/cm,characterization/differential_scanning_calorimetry
n/m,n/m,
s/m,s/m,
celsius,celsius,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile
hz,hz,properties/volumetric/waterabsorption
(dimensionless),(dimensionless),properties/rheological/rheologicalviscosity/dynamicviscosity
(dimensionless),(dimensionless),properties/electrical/dielectricbreakdownstrength/profile
hz,hz,characterization/differential_scanning_calorimetry
a^(-1),a^-1,
mpa,mpa,
w/g,w/g,
celsius,c,
hz,hz,properties/mechanical/compression/compressionstressatyield
celsius,celsius,characterization/dielectric_and_impedance_spectroscopy_analysis
(dimensionless),(dimensionless),properties/rheological/meltviscosity
(dimensionless),(dimensionless),properties/rheological/rheologicalviscosity/meltviscosity
minutes,min,
mw,mw,properties/electrical/dielectricbreakdownstrength/weibullplot
hz,hz,characterization/raman_spectroscopy
gpa,*10^-9pa,
(dimensionless),(dimensionless),properties/electrical/dielectricbreakdownstrength/weibullparameter
(dimensionless),(dimensionless),properties/thermal/thermalconductivity
s/m,sm^-1,
acm^(-2),acm^(-2),
hz,hz,properties/electrical/dielectricbreakdownstrength/profile
(dimensionless),(dimensionless),properties/mechanical/tensile/elongationatbreak
mw,mw,properties/electrical/electricconductivity
cal/g.s,cal/g.s,
(dimensionless),(dimensionless),properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity
(dimensionless),(dimensionless),properties/thermal/specificheatcapacity_cp
hours,hours,
s(cm),s(cm),characterization/xray_diffraction_and_scattering
(dimensionless),(dimensionless),processing/solutionprocessing/chooseparameter/mixing/temperature
mw,mw,
s(cm),s(cm),properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity
hz,hz,properties/rheological/rheologicalviscosity/meltviscosity
(dimensionless),(dimensionless),materials/filler/fillercomponent/particlesurfacetreatment/graftdensity
ghz,ghz,
hz,hz,properties/mechanical/shear/shearmodulus
(dimensionless),(dimensionless),characterization/thermogravimetric_analysis
1/sec,1/s,
pa*s,pa-s,
1/sec,sec^-1,
celsius,°c,
(dimensionless),(dimensionless),materials/filler/fillercomponent/particlesurfacetreatment/molecularweight
1/cm,cm-1,
(dimensionless),(dimensionless),properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature
celsius/min,*c/min,
a^(-1),a^(-1),
rad/sec,rad/sec,
hz,hz,properties/mechanical/tensile/stressrelaxation
ohm*cm,ohmcm,
(dimensionless),(dimensionless),properties/electrical/electricpercolationthreshold
pa,pa,characterization/differential_scanning_calorimetry/heatingrate
hz,hz,properties/mechanical/tensile/tensilemodulus
k,k,
(dimensionless),(dimensionless),properties/mechanical/tensile/fibertensilemodulus
a/mm^2,a/mm^2,
(dimensionless),(dimensionless),properties/electrical/surfaceresistivity
pa,pa,properties/electrical/electricconductivity
(dimensionless),(dimensionless),properties/electrical/energydensity
(dimensionless),(dimensionless),
pa,pa,
(dimensionless),(dimensionless),properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent
mw,mw,properties/thermal/glasstransitiontemperature
hz,hz,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency
s/cm,s/cm,characterization/thermogravimetric_analysis
scm^-1,scm^-1,
pa,pa,properties/mechanical/tensile/tensilestressatyield
hz,hz,properties/volumetric/linearexpansioncoefficient
hz,hz,materials/filler/fillercomponent/particlesurfacetreatment/graftdensity
(dimensionless),(dimensionless),properties/mechanical/tensile/fibertensilestrength
hz,hz,characterization/thermogravimetric_analysis
(dimensionless),(dimensionless),properties/thermal/thermaldiffusivity
loghz,loghz,
(dimensionless),(dimensionless),properties/rheological/rheologicalcomplexmodulus/rheologicallossmodulus
(dimensionless),(dimensionless),characterization/dynamic_mechanical_analysis
hz,hz,materials/filler/fillercomponent/particlesurfacetreatment/molecularweight
hz,hz,properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature
hz,hz,properties/thermal/specificheatcapacity_cv
hz,hz,properties/electrical/electricpercolationthreshold
hz,hz,properties/mechanical/tensile/fibertensilemodulus
(dimensionless),(dimensionless),properties/thermal/glasstransitiontemperature
mw,mw,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile
(dimensionless),(dimensionless),properties/electrical/currentdensity
pa,pa,properties/thermal/glasstransitiontemperature
(dimensionless),(dimensionless),properties/volumetric/density
(dimensionless),(dimensionless),properties/volumetric/weightloss
celsius,deg.celcius,
hz,hz,properties/rheological/rheologicalviscosity/dynamicviscosity
j/gk,j/gk,
mm,mm,
(dimensionless),(dimensionless),properties/mechanical/fracturetoughness/essentialworkoffracture/strainrate
celsius,degc,
celsius,celsius,properties/mechanical/tensile/tensilemodulus
(dimensionless),(dimensionless),properties/electrical/dielectricbreakdownstrength/weibullplot
(dimensionless),(dimensionless),properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent
hz,hz,properties/thermal/thermaldiffusivity
hz,hz,characterization/dynamic_mechanical_analysis
hz,hz,properties/rheological/meltviscosity
(dimensionless),(dimensionless),properties/viscoelastic/dynamicproperties/dynamicpropertyprofile
minutes,minutes,
(dimensionless),(dimensionless),properties/electrical/impedance
pa,pa,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile
celsius,degree,
a/m^2,a/m^2,
hz,hz,properties/electrical/currentdensity
hz,hz,properties/volumetric/weightloss
ch/nm^2,ch/nm^2,
hz,hz,properties/electrical/dielectricbreakdownstrength/weibullparameter
hz,hz,properties/thermal/thermalconductivity
(dimensionless),(dimensionless),characterization/fourier_transform_infrared_spectroscopy
amps,amps,
kv/m,kv/m,
(dimensionless),(dimensionless),properties/electrical/electricconductivity
v/mm,v/mm,
